S.No,Field of Interest,Company Hired,Top Skill,Experience Level
532,DevOps,Cipla,Ethical Hacking,Not Fresher
533,AI/ML,NVIDIA,PyTorch,Not Fresher
534,DevOps,Red Hat,Docker,Not Fresher
535,Game Development,Electronic Arts,C#,Not Fresher
536,DevOps,GitHub,Kubernetes,Not Fresher
537,Data Analytics,Sanguine Global,C#,Not Fresher
538,Embedded Systems,Intel,RTOS,Not Fresher
539,Game Development,Statcon Electronics,Angular,Not Fresher
540,Embedded Systems,Deutsche Bank,Unreal Engine,Not Fresher
541,Web Development,Microsoft,React,Not Fresher
542,Game Development,Amazon,RTOS,Not Fresher
543,Mobile Development,Hyundai,HTML/CSS,Not Fresher
544,Cloud Computing,AWS,GCP,Not Fresher
545,Mobile Development,Secure Meters,AWS,Not Fresher
546,DevOps,Red Hat,CI/CD,Fresher
547,AI/ML,DeepMind,PyTorch,Fresher
548,AI/ML,Accolite,Microcontrollers,Not Fresher
549,DevOps,GitHub,CI/CD,Not Fresher
550,Game Development,Ubisoft,C#,Not Fresher
551,Cloud Computing,Philips,Power BI,Not Fresher
552,Game Development,Amazon,Ethical Hacking,Not Fresher
553,Data Analytics,HashedIn,React,Not Fresher
554,Embedded Systems,Intel,Microcontrollers,Not Fresher
555,Embedded Systems,KPMG,HTML/CSS,Not Fresher
556,Web Development,Amazon,React,Not Fresher
557,Web Development,Microsoft,HTML/CSS,Not Fresher
558,Mobile Development,Apple,Kotlin,Not Fresher
559,Mobile Development,NI Systems,Kubernetes,Fresher
560,DevOps,GitHub,Kubernetes,Not Fresher
561,AI/ML,DeepMind,Scikit-learn,Not Fresher
562,Cybersecurity,Scaler,Angular,Not Fresher
563,Mobile Development,TCS,Kubernetes,Not Fresher
564,Cloud Computing,Azure,AWS,Fresher
565,AI/ML,Mahindra & Mahindra,Docker,Fresher
566,Game Development,HSC,Microcontrollers,Not Fresher
567,Mobile Development,Samsung,Kotlin,Not Fresher
568,Mobile Development,Maverick Quantum,SQL,Not Fresher
569,Data Analytics,Deloitte,Tableau,Not Fresher
570,Cybersecurity,Cisco,Firewalls,Fresher
571,AI/ML,NVIDIA,Scikit-learn,Not Fresher
572,DevOps,Domato Book Co.,Azure,Not Fresher
573,Cloud Computing,OpenAI,CI/CD,Not Fresher
574,Mobile Development,Samsung,Flutter,Not Fresher
575,Mobile Development,Samsung,Kotlin,Fresher
576,DevOps,Silicon Labs,HTML/CSS,Fresher
577,Cloud Computing,Microsoft,AWS,Fresher
578,Mobile Development,Statcon Electronics,SQL,Not Fresher
579,Data Analytics,Deloitte,SQL,Not Fresher
580,AI/ML,DeepMind,Scikit-learn,Not Fresher
581,Mobile Development,EVAge Motors,CI/CD,Not Fresher
582,Web Development,Google,Angular,Not Fresher
583,AI/ML,OpenAI,TensorFlow,Not Fresher
584,Mobile Development,Samsung,Kotlin,Fresher
585,Embedded Systems,Persistent,Network Security,Not Fresher
586,Mobile Development,Apple,Kotlin,Not Fresher
587,Data Analytics,Sabre,Microcontrollers,Not Fresher
588,Embedded Systems,OpenAI,Scikit-learn,Not Fresher
589,Cybersecurity,Seagate,Microcontrollers,Not Fresher
590,Web Development,Google,React,Not Fresher
591,Game Development,Ubisoft,C#,Fresher
592,Data Analytics,Accenture,SQL,Fresher
593,Embedded Systems,Cisco,Azure,Not Fresher
594,Web Development,Amazon,HTML/CSS,Not Fresher
595,Mobile Development,Cipla,Docker,Not Fresher
596,Web Development,Microsoft,HTML/CSS,Not Fresher
597,Cloud Computing,Azure,Azure,Not Fresher
598,Mobile Development,OpenAI,Unity,Not Fresher
599,Cloud Computing,Mahindra & Mahindra,CI/CD,Not Fresher
600,Cloud Computing,Bosch Ltd.,Unity,Not Fresher
601,Cloud Computing,AWS,Azure,Not Fresher
602,Game Development,Ubisoft,Unreal Engine,Not Fresher
603,Data Analytics,PwC,Tableau,Fresher
604,AI/ML,Statcon Electronics,CI/CD,Not Fresher
605,Cybersecurity,Yamaha,Unreal Engine,Not Fresher
606,Embedded Systems,Texas Instruments,RTOS,Not Fresher
607,DevOps,GitHub,Docker,Fresher
608,Data Analytics,PwC,Tableau,Fresher
609,Cloud Computing,Google Cloud,Azure,Not Fresher
610,DevOps,Atlassian,CI/CD,Not Fresher
611,Embedded Systems,Texas Instruments,Microcontrollers,Not Fresher
612,Cloud Computing,TVS Motors,GCP,Not Fresher
613,Cloud Computing,AWS,GCP,Not Fresher
614,Web Development,Amazon,React,Fresher
615,Mobile Development,Samsung,Kotlin,Not Fresher
616,Web Development,Sabre,Firewalls,Not Fresher
617,Data Analytics,PwC,Tableau,Not Fresher
618,DevOps,Azure,CI/CD,Not Fresher
619,Game Development,Ubisoft,Unreal Engine,Not Fresher
620,Cybersecurity,JK Cement,Microcontrollers,Fresher
621,AI/ML,Harness,Flutter,Not Fresher
622,Cloud Computing,Accenture,CI/CD,Not Fresher
623,Game Development,Ubisoft,Unreal Engine,Not Fresher
624,Mobile Development,KPMG,C,Not Fresher
625,Cloud Computing,Azure,Azure,Fresher
626,Cybersecurity,Persistent,TensorFlow,Not Fresher
627,AI/ML,OpenAI,TensorFlow,Fresher
628,Data Analytics,EY,Power BI,Not Fresher
629,Mobile Development,Amazon,HTML/CSS,Not Fresher
630,Cybersecurity,Rockstar Games,Network Security,Not Fresher
631,Cloud Computing,Azure,GCP,Not Fresher
632,AI/ML,Cipla,RTOS,Not Fresher
633,Mobile Development,Navikenz Inc,Scikit-learn,Not Fresher
634,DevOps,HSC,Angular,Fresher
635,Embedded Systems,Bosch Ltd.,Tableau,Not Fresher
636,Cloud Computing,Azure,GCP,Fresher
637,Mobile Development,Cipla,Flutter,Not Fresher
638,Data Analytics,PwC,Tableau,Not Fresher
639,Web Development,Hyundai,Microcontrollers,Fresher
640,Data Analytics,Cisco,AWS,Fresher
641,Cloud Computing,AWS,AWS,Not Fresher
642,Cloud Computing,Rockstar Games,GCP,Fresher
643,Embedded Systems,Cisco,Angular,Not Fresher
644,Web Development,Google,HTML/CSS,Not Fresher
645,Game Development,Watchguard,GCP,Not Fresher
646,DevOps,GitHub,Docker,Not Fresher
647,DevOps,GitHub,Kubernetes,Not Fresher
648,Web Development,HSC,Docker,Not Fresher
649,Cybersecurity,Palo Alto Networks,Firewalls,Not Fresher
650,Cloud Computing,Azure,AWS,Not Fresher
651,Game Development,KPMG,GCP,Not Fresher
652,Cybersecurity,Azure,C,Not Fresher
653,Game Development,Electronic Arts,C#,Not Fresher
654,DevOps,rtCamp,HTML/CSS,Not Fresher
655,Mobile Development,OnePlus,React Native,Not Fresher
656,Web Development,Microsoft,HTML/CSS,Not Fresher
657,Cybersecurity,SAP Lab,PyTorch,Fresher
658,DevOps,Red Hat,CI/CD,Not Fresher
659,Embedded Systems,Intel,C,Not Fresher
660,Game Development,EVAge Motors,Ethical Hacking,Fresher
661,Cybersecurity,Zscaler,Firewalls,Fresher
662,Data Analytics,Deloitte,Tableau,Not Fresher
663,Mobile Development,OnePlus,Kotlin,Not Fresher
664,Web Development,Texas Instruments,Unity,Fresher
665,Mobile Development,Accolite,AWS,Fresher
666,AI/ML,NVIDIA,Scikit-learn,Not Fresher
667,Game Development,Rockstar Games,C#,Not Fresher
668,Game Development,Arvind Fashion,React Native,Not Fresher
669,Data Analytics,Synopsys,React,Not Fresher
670,AI/ML,OpenAI,TensorFlow,Not Fresher
671,Cybersecurity,Rockstar Games,GCP,Not Fresher
672,Game Development,Rockstar Games,Unreal Engine,Not Fresher
673,Cloud Computing,Azure,GCP,Not Fresher
674,DevOps,Batt:RE,PyTorch,Not Fresher
675,Cybersecurity,Cisco,Network Security,Not Fresher
676,Cloud Computing,Dell Technologies,Kubernetes,Fresher
677,DevOps,GitHub,Docker,Not Fresher
678,DevOps,Atlassian,Docker,Not Fresher
679,Web Development,Amazon,React,Fresher
680,Mobile Development,Samsung,Flutter,Fresher
681,AI/ML,DeepMind,TensorFlow,Fresher
682,Web Development,Amazon,HTML/CSS,Not Fresher
683,Cybersecurity,Palo Alto Networks,Network Security,Not Fresher
684,Web Development,TCS,TensorFlow,Not Fresher
685,AI/ML,Intel,Firewalls,Not Fresher
686,Mobile Development,OnePlus,Ethical Hacking,Not Fresher
687,Game Development,Electronic Arts,Unity,Not Fresher
688,Data Analytics,EY,SQL,Fresher
689,Web Development,Amazon,React,Not Fresher
690,Cybersecurity,Principal Global,React,Not Fresher
691,Game Development,Ubisoft,Unity,Not Fresher
692,Web Development,Google,React,Not Fresher
693,Game Development,Domato Book Co.,Network Security,Fresher
694,AI/ML,Scaler,Network Security,Not Fresher
695,Game Development,Rockstar Games,Unity,Fresher
696,Web Development,Dell Technologies,SQL,Not Fresher
697,Cloud Computing,Yamaha,Tableau,Not Fresher
698,DevOps,GitHub,Docker,Not Fresher
699,DevOps,Genpact,React,Not Fresher
700,DevOps,rtCamp,SQL,Not Fresher
701,DevOps,HSC,Network Security,Not Fresher
702,Embedded Systems,Texas Instruments,Kotlin,Fresher
703,Data Analytics,Rockstar Games,Scikit-learn,Not Fresher
704,Data Analytics,Deloitte,Flutter,Fresher
705,Cloud Computing,KPMG,Network Security,Not Fresher
706,AI/ML,DeepMind,Scikit-learn,Fresher
707,Game Development,Palo Alto Networks,SQL,Not Fresher
708,DevOps,Intel,Kubernetes,Not Fresher
709,Web Development,Google,Angular,Not Fresher
710,Mobile Development,OnePlus,Kotlin,Not Fresher
711,AI/ML,Navikenz Inc,Scikit-learn,Not Fresher
712,Game Development,SunLife,TensorFlow,Not Fresher
713,Cybersecurity,Cisco,Firewalls,Not Fresher
714,Mobile Development,Apple,Flutter,Not Fresher
715,DevOps,Talsmart,Scikit-learn,Fresher
716,Web Development,Google,Angular,Not Fresher
717,Data Analytics,Schneider,Power BI,Fresher
718,Web Development,Amazon,Angular,Not Fresher
719,Web Development,Google,Angular,Not Fresher
720,Web Development,Ubisoft,Kubernetes,Not Fresher
721,AI/ML,KPMG,Firewalls,Not Fresher
722,Embedded Systems,Silicon Labs,Unreal Engine,Not Fresher
723,Embedded Systems,Intel,C,Not Fresher
724,Cloud Computing,Google Cloud,GCP,Fresher
725,DevOps,Atlassian,CI/CD,Not Fresher
726,Cloud Computing,Nokia,Flutter,Fresher
727,Cloud Computing,Google Cloud,Power BI,Fresher
728,Game Development,British Telecom,Ethical Hacking,Not Fresher
729,Data Analytics,Micron Semiconductor,HTML/CSS,Not Fresher
730,Cloud Computing,Azure,GCP,Not Fresher
731,Cloud Computing,AWS,Azure,Not Fresher
732,Web Development,HSC,React Native,Not Fresher
733,DevOps,GitHub,Docker,Not Fresher
734,Data Analytics,EY,Tableau,Not Fresher
735,Data Analytics,Watchguard,HTML/CSS,Not Fresher
736,Data Analytics,Sanguine Global,Docker,Fresher
737,Mobile Development,Samsung,Flutter,Not Fresher
738,Embedded Systems,Intel,Microcontrollers,Not Fresher
739,Data Analytics,PwC,SQL,Fresher
740,Web Development,Google,Angular,Not Fresher
741,Cloud Computing,Red Hat,RTOS,Fresher
742,DevOps,Hexaware,GCP,Fresher
743,Mobile Development,Zscaler,Azure,Not Fresher
744,Cloud Computing,Azure,Azure,Not Fresher
745,Embedded Systems,Texas Instruments,Microcontrollers,Not Fresher
746,Cloud Computing,Samsung,Network Security,Not Fresher
747,Web Development,Philips,React,Not Fresher
748,Cybersecurity,Palo Alto Networks,Firewalls,Not Fresher
749,Web Development,Tata Consulting Engineers,Flutter,Not Fresher
750,Game Development,Electronic Arts,C#,Not Fresher
751,Embedded Systems,Cipla,Unreal Engine,Not Fresher
752,Data Analytics,Maverick Quantum,SQL,Fresher
753,Game Development,Juniper Networks,AWS,Not Fresher
754,Web Development,Microsoft,Angular,Not Fresher
755,Cybersecurity,Microsoft,Network Security,Not Fresher
756,Game Development,Arvind Fashion,Scikit-learn,Fresher
757,Cybersecurity,Blackrock,React,Not Fresher
758,Cloud Computing,Philips,Kotlin,Not Fresher
759,DevOps,GitHub,CI/CD,Not Fresher
760,Cybersecurity,Schneider,PyTorch,Not Fresher
761,DevOps,Blackrock,Docker,Not Fresher
762,AI/ML,Accolite,Kubernetes,Not Fresher
763,Embedded Systems,Qualcomm,PyTorch,Not Fresher
764,Mobile Development,Sanguine Global,Ethical Hacking,Fresher
765,Game Development,Batt:RE,Angular,Not Fresher
766,Mobile Development,OnePlus,React Native,Fresher
767,Embedded Systems,Mahindra Comviva,Tableau,Not Fresher
768,DevOps,GitHub,Docker,Not Fresher
769,AI/ML,Intel,GCP,Not Fresher
770,DevOps,Red Hat,Docker,Fresher
771,Game Development,Maverick Quantum,React,Not Fresher
772,Embedded Systems,Apple,Firewalls,Not Fresher
773,AI/ML,OpenAI,Unreal Engine,Not Fresher
774,Embedded Systems,Qualcomm,Microcontrollers,Not Fresher
775,Mobile Development,OnePlus,Flutter,Not Fresher
776,Cybersecurity,Cisco,Network Security,Fresher
777,Web Development,Intel,Kubernetes,Fresher
778,Data Analytics,Marsh McLennan,SQL,Not Fresher
779,Mobile Development,Sanguine Global,Angular,Fresher
780,Web Development,JSW,Azure,Not Fresher
781,Cybersecurity,British Telecom,Docker,Not Fresher
782,Mobile Development,Qualcomm,HTML/CSS,Not Fresher
783,Cloud Computing,Sanguine Global,Azure,Fresher
784,AI/ML,Azure,Scikit-learn,Not Fresher
785,Embedded Systems,Intel,Microcontrollers,Not Fresher
786,Web Development,Google,Angular,Not Fresher
787,Mobile Development,Samsung,Flutter,Fresher
788,Embedded Systems,Intel,RTOS,Not Fresher
789,AI/ML,DeepMind,PyTorch,Not Fresher
790,AI/ML,Nokia,Kubernetes,Not Fresher
791,DevOps,Sabre,Azure,Not Fresher
792,Mobile Development,JP Morgan,HTML/CSS,Not Fresher
793,Mobile Development,Samsung,Flutter,Not Fresher
794,AI/ML,Bosch Ltd.,Angular,Not Fresher
795,Data Analytics,PwC,Tableau,Not Fresher
796,Cloud Computing,AWS,AWS,Not Fresher
797,Game Development,Silicon Labs,React Native,Not Fresher
798,Cloud Computing,Texas Instruments,AWS,Not Fresher
799,Web Development,Tata Consulting Engineers,Docker,Not Fresher
800,Mobile Development,EVAge Motors,Firewalls,Not Fresher
801,Cybersecurity,Juniper Networks,Angular,Not Fresher
802,AI/ML,NVIDIA,PyTorch,Not Fresher
803,AI/ML,Harness,GCP,Not Fresher
804,Embedded Systems,Tech Mahindra,RTOS,Fresher
805,Mobile Development,Samsung,Flutter,Not Fresher
806,Web Development,Scaler,RTOS,Not Fresher
807,Web Development,Google,HTML/CSS,Not Fresher
808,DevOps,Harness,Kotlin,Not Fresher
809,Web Development,Scaler,Tableau,Not Fresher
810,Embedded Systems,Qualcomm,Tableau,Fresher
811,Game Development,Mercer Mettl,Angular,Not Fresher
812,Game Development,HSC,Ethical Hacking,Not Fresher
813,Embedded Systems,Intel,C,Not Fresher
814,Cybersecurity,Cisco,Network Security,Not Fresher
815,Cloud Computing,Azure,Azure,Fresher
816,DevOps,GitHub,Docker,Not Fresher
817,Mobile Development,Navikenz Inc,Unreal Engine,Not Fresher
818,Data Analytics,Accolite,Flutter,Not Fresher
819,Cybersecurity,DeepMind,Microcontrollers,Not Fresher
820,Data Analytics,Amazon,Unity,Not Fresher
821,Cloud Computing,Mahindra Comviva,C,Fresher
822,Data Analytics,Sabre,HTML/CSS,Not Fresher
823,Data Analytics,Genpact,TensorFlow,Not Fresher
824,Web Development,Amazon,HTML/CSS,Not Fresher
825,Cybersecurity,Cisco,Ethical Hacking,Fresher
826,Mobile Development,Domato Book Co.,Angular,Not Fresher
827,Embedded Systems,rtCamp,Network Security,Fresher
828,Cloud Computing,Azure,Azure,Not Fresher
829,Game Development,Ubisoft,Unreal Engine,Not Fresher
830,AI/ML,DeepMind,Scikit-learn,Not Fresher
831,AI/ML,DeepMind,Scikit-learn,Fresher
832,Mobile Development,AWS,GCP,Not Fresher
833,AI/ML,OpenAI,TensorFlow,Not Fresher
834,Web Development,Mercer Mettl,Unity,Not Fresher
835,Embedded Systems,Intel,C,Not Fresher
836,AI/ML,DeepMind,Scikit-learn,Not Fresher
837,Game Development,Blackrock,RTOS,Fresher
838,Mobile Development,OnePlus,Kotlin,Not Fresher
839,Data Analytics,PwC,Tableau,Not Fresher
840,Game Development,Deutsche Bank,Angular,Fresher
841,AI/ML,Google,GCP,Fresher
842,Embedded Systems,Ubisoft,Angular,Fresher
843,Data Analytics,Celebal Technologies,React Native,Not Fresher
844,Embedded Systems,Qualcomm,C,Not Fresher
845,Cybersecurity,EY,Docker,Not Fresher
846,AI/ML,Palo Alto Networks,RTOS,Not Fresher
847,Data Analytics,Deloitte,Tableau,Not Fresher
848,DevOps,Red Hat,Kubernetes,Not Fresher
849,Mobile Development,Batt:RE,C,Not Fresher
850,Mobile Development,Apple,Flutter,Not Fresher
851,Embedded Systems,Philips,GCP,Not Fresher
852,Embedded Systems,Tech Mahindra,Firewalls,Not Fresher
853,AI/ML,Hyundai,C,Not Fresher
854,Data Analytics,EY,Power BI,Not Fresher
855,DevOps,Red Hat,CI/CD,Not Fresher
856,DevOps,JK Cement,Kubernetes,Fresher
857,Mobile Development,Apple,React Native,Not Fresher
858,Embedded Systems,Atlassian,HTML/CSS,Not Fresher
859,Cloud Computing,Micron Semiconductor,GCP,Fresher
860,Data Analytics,PwC,GCP,Fresher
861,Cloud Computing,Micron Semiconductor,Docker,Not Fresher
862,Data Analytics,Oracle,React,Fresher
863,Mobile Development,Principal Global,Microcontrollers,Not Fresher
864,Data Analytics,EY,Power BI,Not Fresher
865,DevOps,Microsoft,SQL,Not Fresher
866,Web Development,Google,Angular,Fresher
867,Data Analytics,Palo Alto Networks,GCP,Not Fresher
868,Embedded Systems,Micron Semiconductor,SQL,Fresher
869,Game Development,Talsmart,Power BI,Not Fresher
870,Web Development,Microsoft,React,Not Fresher
871,Data Analytics,Microsoft,Firewalls,Not Fresher
872,Data Analytics,PwC,Tableau,Fresher
873,Web Development,Mahindra Comviva,React,Not Fresher
874,Cybersecurity,Nokia,Firewalls,Fresher
875,Embedded Systems,Palo Alto Networks,Unreal Engine,Not Fresher
876,Data Analytics,Oracle,Unity,Fresher
877,Cybersecurity,Sabre,React,Not Fresher
878,Cybersecurity,Cisco,Ethical Hacking,Fresher
879,Cybersecurity,EY,Ethical Hacking,Not Fresher
880,Embedded Systems,Intel,Microcontrollers,Not Fresher
881,Data Analytics,Deloitte,Power BI,Not Fresher
882,Embedded Systems,Cimpress,Ethical Hacking,Not Fresher
883,Cloud Computing,Azure,AWS,Not Fresher
884,Game Development,Principal Global,Firewalls,Not Fresher
885,Embedded Systems,Intel,RTOS,Fresher
886,Cloud Computing,Google Cloud,GCP,Fresher
887,Cloud Computing,Azure,Azure,Not Fresher
888,Data Analytics,EVAge Motors,Firewalls,Fresher
889,Cybersecurity,Zscaler,Firewalls,Not Fresher
890,AI/ML,Accenture,React Native,Fresher
891,Cybersecurity,Cisco,Network Security,Fresher
892,Embedded Systems,Qualcomm,Microcontrollers,Not Fresher
893,Cloud Computing,EY,Docker,Not Fresher
894,Data Analytics,Accenture,HTML/CSS,Fresher
895,Game Development,Celebal Technologies,PyTorch,Not Fresher
896,Cybersecurity,Zscaler,Ethical Hacking,Not Fresher
897,AI/ML,OpenAI,Scikit-learn,Not Fresher
898,Cybersecurity,Red Hat,Kotlin,Not Fresher
899,Cloud Computing,Sabre,HTML/CSS,Not Fresher
900,Mobile Development,OnePlus,React Native,Not Fresher
901,Web Development,TCS,React,Not Fresher
902,Mobile Development,OnePlus,Kotlin,Not Fresher
903,AI/ML,Juniper Networks,Kotlin,Not Fresher
904,AI/ML,OpenAI,TensorFlow,Fresher
905,Embedded Systems,Intel,Microcontrollers,Not Fresher
906,AI/ML,Batt:RE,React,Fresher
907,Web Development,Mahindra Comviva,AWS,Not Fresher
908,Embedded Systems,Juniper Networks,Power BI,Not Fresher
909,AI/ML,OpenAI,TensorFlow,Fresher
910,Data Analytics,PwC,Power BI,Not Fresher
911,Web Development,Genpact,Firewalls,Not Fresher
912,Game Development,Harness,Kotlin,Not Fresher
913,Game Development,Schneider,Network Security,Not Fresher
914,Embedded Systems,Dell Technologies,C#,Not Fresher
915,Embedded Systems,Navikenz Inc,Ethical Hacking,Fresher
916,AI/ML,OpenAI,PyTorch,Not Fresher
917,DevOps,Tech Mahindra,Network Security,Not Fresher
918,Embedded Systems,Qualcomm,C,Not Fresher
919,Game Development,TVS Motors,Network Security,Fresher
920,Cybersecurity,Palo Alto Networks,Network Security,Not Fresher
921,Cloud Computing,Azure,GCP,Fresher
922,Embedded Systems,Intel,C,Not Fresher
923,Embedded Systems,Seagate,Kotlin,Not Fresher
924,DevOps,Domato Book Co.,TensorFlow,Not Fresher
925,Mobile Development,Apple,Flutter,Not Fresher
926,Embedded Systems,Intel,Microcontrollers,Not Fresher
927,AI/ML,OpenAI,PyTorch,Not Fresher
928,Cybersecurity,Watchguard,HTML/CSS,Not Fresher
929,DevOps,HashedIn,Microcontrollers,Not Fresher
930,Data Analytics,JP Morgan,Network Security,Not Fresher
931,Mobile Development,OnePlus,Kotlin,Not Fresher
932,DevOps,Red Hat,Docker,Not Fresher
933,Data Analytics,SAP Lab,CI/CD,Not Fresher
934,Game Development,Amazon,C#,Not Fresher
935,Mobile Development,OnePlus,React Native,Not Fresher
936,Data Analytics,Mahindra & Mahindra,C,Not Fresher
937,Cloud Computing,AWS,AWS,Not Fresher
938,AI/ML,DeepMind,Scikit-learn,Not Fresher
939,Cloud Computing,Azure,GCP,Not Fresher
940,Mobile Development,OnePlus,Kotlin,Not Fresher
941,Game Development,Oracle,Kubernetes,Fresher
942,Web Development,Micron Semiconductor,GCP,Fresher
943,Web Development,Google,React,Not Fresher
944,DevOps,GitHub,Docker,Not Fresher
945,Cloud Computing,AWS,AWS,Fresher
946,Web Development,Google,HTML/CSS,Fresher
947,Game Development,Maverick Quantum,CI/CD,Not Fresher
948,Cloud Computing,Azure,AWS,Not Fresher
949,AI/ML,Persistent,Azure,Not Fresher
950,Game Development,Ubisoft,C#,Not Fresher
951,Cybersecurity,Azure,Ethical Hacking,Not Fresher
952,Embedded Systems,Celebal Technologies,AWS,Not Fresher
953,Web Development,Amazon,Angular,Not Fresher
954,Game Development,NI Systems,GCP,Fresher
955,Embedded Systems,Intel,C,Fresher
956,Mobile Development,Yamaha,HTML/CSS,Not Fresher
957,AI/ML,DeepMind,PyTorch,Not Fresher
958,DevOps,Google,React Native,Fresher
959,Data Analytics,PwC,SQL,Not Fresher
960,Embedded Systems,Micron Semiconductor,Unreal Engine,Not Fresher
961,Game Development,Intel,Kubernetes,Not Fresher
962,Web Development,EY,C,Not Fresher
963,Embedded Systems,Silicon Labs,C#,Not Fresher
964,AI/ML,Principal Global,Azure,Not Fresher
965,Embedded Systems,Azure,Unreal Engine,Not Fresher
966,Mobile Development,Dell Technologies,SQL,Not Fresher
967,Embedded Systems,Watchguard,Flutter,Not Fresher
968,Web Development,Google,HTML/CSS,Not Fresher
969,Web Development,SAP Lab,Firewalls,Not Fresher
970,Mobile Development,Samsung,React Native,Not Fresher
971,Mobile Development,Apple,Flutter,Not Fresher
972,Cybersecurity,Navikenz Inc,GCP,Not Fresher
973,AI/ML,SAP Scholar,Microcontrollers,Fresher
974,Cloud Computing,Azure,Azure,Not Fresher
975,AI/ML,Cipla,Kotlin,Not Fresher
976,AI/ML,DeepMind,PyTorch,Not Fresher
977,Game Development,Celebal Technologies,Kotlin,Not Fresher
978,DevOps,Atlassian,CI/CD,Not Fresher
979,AI/ML,DeepMind,Scikit-learn,Not Fresher
980,Mobile Development,Marsh McLennan,AWS,Fresher
981,Mobile Development,Arvind Fashion,Kubernetes,Fresher
982,Mobile Development,Samsung,Flutter,Not Fresher
983,Embedded Systems,Blackrock,Kotlin,Fresher
984,Mobile Development,Azure,Flutter,Not Fresher
985,Cloud Computing,NI Systems,PyTorch,Fresher
986,Web Development,Google,HTML/CSS,Not Fresher
987,Embedded Systems,Intel,C,Not Fresher
988,Cybersecurity,Palo Alto Networks,Ethical Hacking,Not Fresher
989,Cloud Computing,Red Hat,Docker,Fresher
990,Cybersecurity,Zscaler,Ethical Hacking,Not Fresher
991,DevOps,HSC,Scikit-learn,Fresher
992,Cybersecurity,Zscaler,Ethical Hacking,Not Fresher
993,Embedded Systems,OpenAI,C#,Not Fresher
994,Cloud Computing,KPMG,Unreal Engine,Fresher
995,Web Development,Electronic Arts,PyTorch,Fresher
996,Game Development,Ubisoft,C#,Not Fresher
997,Web Development,Mahindra & Mahindra,Power BI,Not Fresher
998,Cloud Computing,NI Systems,AWS,Fresher
999,Embedded Systems,Texas Instruments,C,Fresher
1000,Game Development,Ubisoft,C#,Fresher
1001,DevOps,Red Hat,CI/CD,Not Fresher
1002,Cybersecurity,Samsung,AWS,Not Fresher
1003,AI/ML,NVIDIA,PyTorch,Not Fresher
1004,Embedded Systems,Maverick Quantum,C#,Fresher
1005,Web Development,Qualcomm,C#,Not Fresher
1006,Web Development,Microsoft,Angular,Not Fresher
1007,Game Development,Palo Alto Networks,Tableau,Not Fresher
1008,Cloud Computing,Azure,Azure,Fresher
1009,Embedded Systems,British Telecom,Scikit-learn,Not Fresher
1010,Cloud Computing,Statcon Electronics,Power BI,Not Fresher
1011,Data Analytics,PwC,SQL,Not Fresher
1012,Cybersecurity,Cisco,Network Security,Fresher
1013,Data Analytics,Secure Meters,Kotlin,Not Fresher
1014,DevOps,GitHub,CI/CD,Fresher
1015,Mobile Development,KPMG,Network Security,Not Fresher
1016,DevOps,GitHub,Kubernetes,Not Fresher
1017,AI/ML,Watchguard,Kotlin,Fresher
1018,Mobile Development,SAP Lab,CI/CD,Not Fresher
1019,DevOps,GitHub,Kubernetes,Not Fresher
1020,Mobile Development,Apple,Kotlin,Not Fresher
1021,Mobile Development,Cimpress,Microcontrollers,Not Fresher
1022,Cybersecurity,Zscaler,Ethical Hacking,Not Fresher
1023,DevOps,GitHub,CI/CD,Not Fresher
1024,DevOps,Tata Consulting Engineers,Microcontrollers,Not Fresher
1025,Embedded Systems,Mahindra & Mahindra,AWS,Not Fresher
1026,Mobile Development,Samsung,Flutter,Not Fresher
1027,Cloud Computing,Domato Book Co.,CI/CD,Not Fresher
1028,Cloud Computing,Google Cloud,Azure,Fresher
1029,AI/ML,OpenAI,TensorFlow,Not Fresher
1030,Game Development,British Telecom,Power BI,Not Fresher
1031,Mobile Development,Samsung,Flutter,Not Fresher
1032,Web Development,Amazon,Angular,Not Fresher
1033,Embedded Systems,Sanguine Global,Microcontrollers,Fresher
1034,AI/ML,Palo Alto Networks,Kotlin,Not Fresher
1035,AI/ML,NVIDIA,Scikit-learn,Not Fresher
1036,Web Development,Google,Angular,Not Fresher
1037,Mobile Development,Amazon,Microcontrollers,Not Fresher
1038,AI/ML,Celebal Technologies,C#,Not Fresher
1039,Data Analytics,Domato Book Co.,React Native,Not Fresher
1040,Embedded Systems,NVIDIA,React,Not Fresher
1041,Cybersecurity,Texas Instruments,Unreal Engine,Fresher
1042,Mobile Development,Philips,Scikit-learn,Not Fresher
1043,AI/ML,Genpact,Microcontrollers,Not Fresher
1044,Mobile Development,Atlassian,RTOS,Not Fresher
1045,Web Development,Cipla,Unity,Fresher
1046,Embedded Systems,Qualcomm,CI/CD,Not Fresher
1047,Data Analytics,Scaler,RTOS,Not Fresher
1048,AI/ML,Zscaler,PyTorch,Not Fresher
1049,AI/ML,OpenAI,TensorFlow,Not Fresher
1050,Game Development,Maverick Quantum,HTML/CSS,Not Fresher
1051,Web Development,Microsoft,HTML/CSS,Not Fresher
1052,AI/ML,Zscaler,CI/CD,Not Fresher
1053,Cloud Computing,Oracle,Flutter,Not Fresher
1054,Data Analytics,Deloitte,Tableau,Fresher
1055,Data Analytics,HSC,React Native,Fresher
1056,DevOps,Accenture,Tableau,Fresher
